Catalog number,Image license,Image URI,Object type,Rights holder,Institution URL,Higher classification,Person name,Person identifier
NHMUK010265364,CC BY,https://data.nhm.ac.uk/media/6c3d5785-a4a2-4fa7-bc38-fa25dd6ec7e4/preview,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
NHMUK010265371,CC BY,https://data.nhm.ac.uk/media/c41e7a40-f358-4eb6-ae6a-e44ecb73b228/preview,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
NHMUK010402186,CC BY,https://data.nhm.ac.uk/media/f5990d68-026b-4d3a-a68c-a85d083c99ed/preview,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
NHMUK010402209,CC BY,https://data.nhm.ac.uk/media/ef2ecad5-00d1-40cd-8ace-0c1c7384c6e6/preview,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
BMNH(E)970317,CC BY,https://data.nhm.ac.uk/media/6c30c07c-ad8e-47b6-9545-923c6e18d796/preview,Pinned insect,NHMUK,https://data.nhm.ac.uk/,Hymenoptera,L Livermore,0000-0002-7341-1842
